,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,ionisable_nitrogens,num_nitrogens,longest_tail,num_branches,num_carbons,num_heavy_atoms,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,num_sp3_carbons,tail_branches
8427,CCc1[nH]nc(N)c1CC(C)C,0.0,1.0,0.0,0.0,167.25599670410156,0.6666666865348816,0.75,2.0,3.0,3.0,4.0,9,12,0,0,0,0,6.0,0.0
8428,CCCCn1cc(N)cn1,0.0,1.0,0.0,0.0,139.20199584960938,0.5714285969734192,0.699999988079071,2.0,3.0,4.0,2.0,7,10,0,0,0,0,4.0,0.0
8429,CCc1cnn(C2CC2)c1N,1.0,1.0,0.0,0.0,151.21299743652344,0.625,0.7272727489471436,2.0,3.0,2.0,2.0,8,11,0,0,0,0,5.0,0.0
8430,Nc1cccnc1NCC1CC1,1.0,1.0,0.0,0.0,163.2239990234375,0.4444444477558136,0.75,2.0,3.0,2.0,3.0,9,12,0,0,0,0,4.0,0.0
8431,Nc1ncc2c(n1)CCCCCC2,1.0,1.0,0.0,0.0,177.25100708007812,0.6000000238418579,0.7692307829856873,2.0,3.0,1.0,1.0,10,13,0,0,0,0,6.0,0.0
8432,Cc1cc(N)c(F)c(C)n1,0.0,1.0,0.0,0.0,140.16099548339844,0.2857142984867096,0.699999988079071,1.0,2.0,1.0,4.0,7,10,0,0,0,0,2.0,0.0
8433,NCc1cnccc1C1CC1,1.0,1.0,0.0,0.0,148.20899963378906,0.4444444477558136,0.8181818127632141,1.0,2.0,2.0,1.0,9,11,0,0,0,0,4.0,0.0
8434,CCN(CCO)c1ccccc1N,0.0,1.0,0.0,0.0,180.25100708007812,0.4000000059604645,0.7692307829856873,1.0,2.0,6.0,2.0,10,13,0,0,0,1,4.0,0.0
8435,Nc1ncc(OC2CCCC2)cn1,1.0,1.0,0.0,0.0,179.22300720214844,0.5555555820465088,0.692307710647583,2.0,3.0,1.0,3.0,9,13,0,0,0,0,5.0,0.0
8436,CC(C)n1cncc1C1(N)CC1,1.0,1.0,0.0,0.0,165.24000549316406,0.6666666865348816,0.75,2.0,3.0,3.0,2.0,9,12,0,0,0,0,6.0,0.0
8437,CC1CC(c2cc(N)n(C)n2)C1,1.0,1.0,0.0,0.0,165.24000549316406,0.6666666865348816,0.75,2.0,3.0,1.0,3.0,9,12,0,0,0,0,6.0,0.0
8438,Cc1cnc(C(F)(F)F)c(N)c1,0.0,1.0,0.0,0.0,176.14100646972656,0.2857142984867096,0.5833333134651184,1.0,2.0,3.0,4.0,7,12,0,0,0,0,2.0,0.0
8439,CC(C)N(C)c1ccc(CN)nc1,0.0,1.0,0.0,0.0,179.26699829101562,0.5,0.7692307829856873,2.0,3.0,4.0,3.0,10,13,0,0,0,1,5.0,0.0
8440,CC1CC(c2cc(N)n[nH]2)C1,1.0,1.0,0.0,0.0,151.21299743652344,0.625,0.7272727489471436,2.0,3.0,1.0,2.0,8,11,0,0,0,0,5.0,0.0
8441,CCN(CCO)c1ccc(F)cc1N,0.0,1.0,0.0,0.0,198.24099731445312,0.4000000059604645,0.7142857313156128,1.0,2.0,6.0,3.0,10,14,0,0,0,1,4.0,0.0
